,Mean_MSE,Mean_MAE,Mean_RMSE,Consistency
Voltage_measured,0.006057598253327716,0.038876964685408834,0.07755692074242114,0.18403878960921152
Current_measured,0.00035716681708084695,0.012534867453767251,0.018860981794044118,0.37885504007819815
Temperature_measured,0.43137264609997256,0.5080177672374248,0.6555125130153189,0.16937479727750432
Current_load,0.002292496775523652,0.007188465496097657,0.047587620830476275,0.11848082820785535
Voltage_load,0.43218275864547534,0.14171492322665627,0.6573833418884049,0.13005076917944056
Time,7888.127779302686,26.90819772292461,88.66406919309861,0.16022736185549552
