,Mean_MSE,Mean_MAE,Mean_RMSE,Consistency
Voltage_measured,0.016185314069962712,0.08134985798571782,0.12528533802589026,0.293331608792202
Current_measured,0.003255328980080522,0.03080719183820456,0.05487876469772174,0.39408156355340174
Temperature_measured,1.3186400595828802,0.9075672485860883,1.0660723709560243,0.32595970036115046
Current_load,0.0048392455818833955,0.02690960114444355,0.06821492813061467,0.2756667998536687
Voltage_load,0.43057610685198017,0.15985912456018192,0.6561692930261974,0.1349232340314756
Time,31296.787720985696,87.96751465337336,175.4918859331299,0.2472707973079581
